#Chromosome	Start	End	Orientation	Repeat	Subrepeat	Repeat Copy	Length	Copy Number	Notes
chrY	6234810	6245524	F	IR3	IR3-1	Distal IR3	10714	2	
chrY	6245524	6266828	R	TSPY	TSPY	Small TSPY array	21304	2	
chrY	6266828	6361948	F	IR3	IR3-2	Distal IR3	95120	2	
chrY	6362047	6532527	F	IR3	IR3-3	Distal IR3	170480	2	
chrY	7578486	7586095	R	IR1	Green/IR1	Yp IR1	7609	4	
chrY	7586095	7592160	F	IR1	IR1-1	Yp IR1	6065	2	
chrY	7593394	7604421	F	IR1	IR1-2	Yp IR1	11027	2	
chrY	7604421	7608949	F	IR1	IR1-3	Yp IR1	4528	2	
chrY	7608949	7638905	F	IR1	Blue/IR1	Yp IR1	29956	4	
chrY	9333511	9537359	R	TSPY	TSPY	Large TSPY array	203848	2	
chrY	9628646	9802679	R	IR3	IR3-3	Proximal IR3	174033	2	
chrY	9812672	9907906	R	IR3	IR3-2	Proximal IR3	95234	2	
chrY	9908886	9919596	R	IR3	IR3-1	Proximal IR3	10710	2	
chrY	13984446	14019663	F	P8	P8	Proximal P8	35217	2	
chrY	14023068	14058287	R	P8	P8	Distal P8	35219	2	
chrY	15874850	15883583	F	P7	P7	Proximal P7	8733	2	
chrY	15896217	15904951	R	P7	P7	Distal P7	8734	2	
chrY	16159548	16269551	F	P6	P6	Proximal P6	110003	2	
chrY	16315772	16425803	R	P6	P6	Distal P6	110031	2	
chrY	17455803	17823070	F	P5	P5	Proximal P5	367267	2	
chrY	17823070	17951262	F	P5	IR5	IR5-1	128192	4	
chrY	17954717	18082941	R	P5	IR5	IR5-2	128224	4	
chrY	18082941	18450203	R	P5	P5	Distal P5	367262	2	
chrY	18450212	18640367	F	P4	P4	Proximal P4	190155	2	
chrY	18680022	18870186	R	P4	P4	Distal P4	190164	2	
chrY	20055177	20350712	R	DYZ19	DYZ19	DYZ19	295535	1	
chrY	21010200	21021696	R	Rep1	Rep1	Rep1-1	11496	2	Not previously described
chrY	21051500	21063551	R	Rep1	Rep1	Rep1-2	12051	2	Not previously described
chrY	21493770	21504762	F	RBMY1	RBMY1-1	RBMY1-1.0	10992	7	
chrY	21504762	21508333	F	IR2	IR2-RBMY1-spacer	Proximal IR2	3571	4	
chrY	21508333	21517311	F	IR2	RBMY1-2	Proximal IR2	8978	6	Part of IR2
chrY	21517311	21528302	F	IR2	RBMY1-1	Proximal IR2	10991	7	Part of IR2
chrY	21528302	21531874	F	IR2	IR2-RBMY1-spacer	Proximal IR2	3572	4	
chrY	21531874	21540851	F	IR2	RBMY1-2	Proximal IR2	8977	6	Part of IR2
chrY	21540851	21551835	F	IR2	RBMY1-1	Proximal IR2	10984	7	Part of IR2
chrY	21551835	21567301	F	IR2	IR2	Proximal IR2	15466	2	
chrY	21862115	21877568	R	IR2	IR2	Distal IR2	15453	2	
chrY	21877568	21888451	R	IR2	RBMY1-1	Distal IR2	10883	7	Part of IR2
chrY	21888451	21897531	R	IR2	RBMY1-2	Distal IR2	9080	6	Part of IR2
chrY	21897531	21901098	R	IR2	IR2-RBMY1-spacer	Distal IR2	3567	4	
chrY	21901098	21912093	R	IR2	RBMY1-1	Distal IR2	10995	7	Part of IR2
chrY	21912093	21921073	R	IR2	RBMY1-2	Distal IR2	8980	6	Part of IR2
chrY	21921073	21924668	R	IR2	IR2-RBMY1-spacer	Distal IR2	3595	4	
chrY	21925349	22093051	F	P3	Blue	b1	167702	4	
chrY	22093051	22165030	F	P3	Teal-1	t1	71979	2	
chrY	22166027	22177018	R	P3	RBMY1-1	t1	10991	7	Part of P3
chrY	22177028	22185987	R	P3	RBMY1-2	t1	8959	6	Part of P3
chrY	22186445	22208739	F	P3	Teal-2	t1	22294	2	
chrY	22377680	22399976	R	P3	Teal-2	t2	22296	2	
chrY	22400430	22409408	F	P3	RBMY1-2	t2	8978	6	Part of P3
chrY	22409408	22420396	F	P3	RBMY1-1	t2	10988	7	Part of P3
chrY	22421393	22493356	R	P3	Teal-1	t2	71963	2	
chrY	22493356	22661025	R	P3	Blue	b2	167669	4	
chrY	22661506	22692207	R	P3	Blue-plus	b2	30701	3	
chrY	22692207	22722170	R	IR1	Blue/IR1	b2/IR1	29963	4	
chrY	22722170	22726696	R	IR1	IR1-3	Yq IR1	4526	2	
chrY	22729621	22740559	R	IR1	IR1-2	Yq IR1	10938	2	
chrY	22740618	22746680	R	IR1	IR1-1	Yq IR1	6062	2	
chrY	22746680	22754280	F	IR1	Green/IR1	g1	7600	4	
chrY	22754280	23061370	F	g1	Green	g1	307090	3	
chrY	23061754	23129355	F	P2	Red-1	r1	67601	4	
chrY	23129355	23199108	F	P2	DAZ	r1	69753	4	
chrY	23199108	23208205	F	P2	Red-2	r1	9097	4	
chrY	23208205	23210394	F	P2	Red-spacer	r1-r2	2189	2	
chrY	23210394	23219434	R	P2	Red-2	r2	9040	4	
chrY	23219434	23291357	R	P2	DAZ	r2	71923	4	
chrY	23291357	23359020	R	P2	Red-1	r2	67663	4	
chrY	23359751	23474022	F	P1	Gray	gray1	114271	2	Homologous to chr1
chrY	23474022	23503983	F	P1	Blue/IR1	b3	29961	4	
chrY	23503983	23534676	F	P1	Blue-plus	b3	30693	3	
chrY	23535162	23702730	F	P1	Blue	b3	167568	4	
chrY	23702730	23992775	F	P1	Yellow-1	y1	290045	2	
chrY	23992775	24114882	F	P1	IR5	y1	122107	4	
chrY	24114882	24124587	F	P1.2	P1.1/2	y1	9705	4	
chrY	24124587	24128529	F	P1.2	P1.1/2-spacer	y1	3942	2	
chrY	24128529	24138240	R	P1.2	P1.1/2	y1	9711	4	
chrY	24138240	24180078	F	P1	P1-chr15-1	y1	41838	2	
chrY	24180078	24181684	F	P1.3	P1.3/4	y1	1606	4	
chrY	24181684	24207522	F	P1.3	P1.3/4-spacer	y1	25838	2	
chrY	24207522	24209128	R	P1.3	P1.3/4	y1	1606	4	
chrY	24209128	24276001	F	P1	P1-ch15-2	y1	66873	2	
chrY	24276001	24380446	F	P1	P1-mm	y1	104445	2	
chrY	24380446	24388041	F	P1	Green/IR1	g2	7595	4	
chrY	24388041	24695116	F	P1	Green	g2	307075	3	
chrY	24695499	24763070	F	P1	Red-1	r3	67571	4	
chrY	24763070	24813493	F	P1	DAZ	r3	50423	4	
chrY	24813493	24822589	F	P1	Red-2	r3	9096	4	
chrY	24822589	24824725	F	P1	Red-spacer	r3-r4	2136	2	
chrY	24824725	24833820	R	P1	Red-2	r4	9095	4	
chrY	24833820	24907041	R	P1	DAZ	r4	73221	4	
chrY	24907041	24974626	R	P1	Red-1	r4	67585	4	
chrY	24974970	25282100	R	P1	Green	g3	307130	3	
chrY	25282100	25289694	R	P1	Green/IR1	g3	7594	4	
chrY	25289694	25394048	R	P1	P1-mm	y2	104354	2	
chrY	25394048	25461016	R	P1	P1-ch15-2	y2	66968	2	
chrY	25461016	25462622	F	P1.4	P1.3/4	y2	1606	4	
chrY	25462622	25488457	R	P1.4	P1.3/4-spacer	y2	25835	2	
chrY	25488457	25490063	R	P1.4	P1.3/4	y2	1606	4	
chrY	25490063	25531901	R	P1	P1-chr15-1	y2	41838	2	
chrY	25531901	25541604	F	P1.1	P1.1/2	y2	9703	4	
chrY	25541604	25545550	R	P1.1	P1.1/2-spacer	y2	3946	2	
chrY	25545550	25555259	R	P1.1	P1.1/2	y2	9709	4	
